	agent_id,agent_type,origin_node_id,destination_node_id,cost,departure_time_in_min,path_node_sequence,path_time_sequence
1,1,13,15,0.000000,1.0,13;9;3;4;5;11;15;,1.0:2.0;2.0:4.0;4.0:5.0;5.0:6.0;6.0:7.0;7.0:8.0;
3,2,1,17,0.000000,1.0,1;2;9;3;4;5;11;6;7;8;17;,1.0:2.0;2.0:3.0;3.0:4.0;4.0:5.0;5.0:6.0;6.0:7.0;7.0:8.0;8.0:9.0;9.0:10.0;10.0:11.0;
4,2,1,17,0.000000,5.0,1;2;3;10;4;5;6;7;12;8;17;,5.0:6.0;6.0:7.0;7.0:8.0;8.0:9.0;9.0:10.0;10.0:11.0;11.0:12.0;12.0:13.0;13.0:14.0;14.0:15.0;
2,1,14,16,0.000000,7.0,14;10;4;5;6;7;12;16;,7.0:8.0;8.0:9.0;9.0:10.0;10.0:11.0;11.0:12.0;12.0:13.0;13.0:14.0;
